1.000000000000000021e-03,1.000000000000000000e+02,1.043916796266312896e-01,1.202818799377763231e-02,8.678100009768137044e-03
5.000000000000000104e-03,1.000000000000000000e+02,4.322572670802500849e-01,4.573319970802046386e-02,2.983411323182248720e-02
1.000000000000000021e-02,1.000000000000000000e+02,6.951206934840981067e-01,6.860855418113967485e-02,3.878003956381400469e-02
5.000000000000000278e-02,1.000000000000000000e+02,1.089969183119605001e+00,1.120068686565900695e-01,1.799780435581841559e-02
1.000000000000000056e-01,1.000000000000000000e+02,1.096431687859428683e+00,1.243620743499140036e-01,5.657641165431582207e-03
5.000000000000000000e-01,1.000000000000000000e+02,1.096460811392404811e+00,1.286171939087436822e-01,1.402522311192154958e-03
1.000000000000000000e+00,1.000000000000000000e+02,1.096460811392405033e+00,1.286172323233757964e-01,1.402483896555731073e-03
5.000000000000000000e+00,1.000000000000000000e+02,-1.504729997494238712e+72,-1.857234780657207278e+87,-1.857234780657207278e+87
1.000000000000000000e+01,1.000000000000000000e+02,-7.692328184839416099e+104,-1.306120657185946568e+120,-1.306120657185946281e+120
2.000000000000000042e-02,1.000000000000000000e+02,9.510486655295437020e-01,8.945880267671756092e-02,3.674242900789337352e-02
